NAME                                     ID              SIZE      MODIFIED     
alarksahu388/wormgpt480b:latest          5bc8c465269c    -         2 days ago      
YuriiFominYoung/fable-5:latest           0e4bda992165    -         4 days ago      
blackgrg26/WORMGPT-9:latest              478882926343    -         4 days ago      
blackgrg26/WORMGPT-7:latest              8066f751f432    -         4 days ago      
blackgrg26/WORMGPT-8:latest              273238a7f1b4    -         4 days ago      
blackgrg26/WORMGPT-10:latest             935fa343af3a    -         4 days ago      
blackgrg26/WORMGPT-6:latest              b4339712d78f    -         4 days ago      
blackgrg26/WORMGPT-14:latest             f9809643910c    -         4 days ago      
blackgrg26/WORMGPT-11:latest             478882926343    -         4 days ago      
blackgrg26/WORMGPT-13:latest             a02a33b8a6a8    -         4 days ago      
blackgrg26/WORMGPT-12:latest             69e323106e66    -         4 days ago      
nemotron-3-super:cloud                   be3943c5a818    -         4 days ago      
minimax-m3:cloud                         d03a959f45c0    -         4 days ago      
minimax-m2.7:cloud                       06daa293c105    -         4 days ago      
kimi-k2.7-code:cloud                     eda07a659237    -         4 days ago      
kimi-k2.6:cloud                          a90cd0d1590c    -         4 days ago      
glm-5.2:cloud                            ce8fd6f94793    -         4 days ago      
glm-5.1:cloud                            59472abf9d0a    -         4 days ago      
gemma4:cloud                             b06ba4be71c0    -         4 days ago      
gemma4:31b-cloud                         c382fbfbc73b    -         4 days ago      
deepseek-v4-pro:cloud                    22bfd5026abd    -         4 days ago      
deepseek-v4-flash:cloud                  ea027821675c    -         4 days ago      
u1o8/glm-5-agent:latest                  c313cd065935    -         4 months ago    
tzarni79/qwen3.5:cloud                   a7bf6f7891c3    -         4 months ago    
siddhjain68/GLM_4.7:latest               023608864819    -         4 months ago    
seger76/dev:latest                       569662207105    -         4 months ago    
rubenftenorio/kimi-k25-local:latest      6d1c3246c608    -         4 months ago    
reaperdoesntrun/Kimi_Thinks:latest       6d1c3246c608    -         4 months ago    
pdevine/qwen3-coder:480b-cloud           bc573ee877ef    -         4 months ago    
pdevine/gpt-oss:20b-cloud                875e8e3a629a    -         4 months ago    
pdevine/gpt-oss:120b-cloud               569662207105    -         4 months ago    
pdevine/deepseek-v3.1:671b-cloud         d3749919e45f    -         4 months ago    
muhammadaqrar090/AqrarAI-GLM:latest      05277b76269f    -         4 months ago    
mamber/aetherportv3:675B                 3130fd5a5a1e    -         4 months ago    
kengetrw/router:latest                   05277b76269f    -         4 months ago    
kengetrw/plan:latest                     3130fd5a5a1e    -         4 months ago    
kengetrw/orc:latest                      9752ffb77f53    -         4 months ago    
kengetrw/agentic:latest                  01d0d069a149    -         4 months ago    
jmorgan/turbo:latest                     875e8e3a629a    -         4 months ago    
jbcderby27/kimi:latest                   6d1c3246c608    -         4 months ago    
icefoxyyt1/fanta0.1:latest               c0d5751c800f    -         4 months ago    
emirbaki068/deneme:latest                569662207105    -         4 months ago    
ehuaricapcha86/gpt-oss:20b-cloud         875e8e3a629a    -         4 months ago    
eager_perlman_271/gpt-oss:120b-cloud     569662207105    -         4 months ago    
darkzus/mayaccai_:latest                 ebade0d31690    -         4 months ago    
dandank/deepseek:latest                  d3749919e45f    -         4 months ago    
dandank/chatgpt:latest                   569662207105    -         4 months ago    
busy_dewdney_138/qwenCodeLocal:latest    e30e45586389    -         4 months ago    
benchelbiaiguide/deepseek:latest         d3749919e45f    -         4 months ago    
basemdabbour/OllModraMoV2:latest         9752ffb77f53    -         4 months ago    
basemdabbour/OllModraMo:latest           9752ffb77f53    -         4 months ago    
ayushtiwari8888/glm-5:cloud              c313cd065935    -         4 months ago    
authoogle/dev:latest                     ec4a591da58a    -         4 months ago    
aqrar1/AqrarAI-V1:latest                 d3749919e45f    -         4 months ago    
aqrar1/AqrarAI-Qwen3-VL:latest           2bf9522f6961    -         4 months ago    
1178493925/qwen3-vl:235b-cloud           86b3322ec200    -         4 months ago    
alibayram/smollm3:latest                 6463ebe1ce6a    1.9 GB    4 months ago    
openvoid/Void-Gemini:latest              91a1db042ba1    -         4 months ago    
bobowg/mistral-large-3:latest            3130fd5a5a1e    -         4 months ago    
bobowg/gemini-3-flash:latest             ebade0d31690    -         4 months ago    
gemma3:27b-cloud                         9e1580299085    -         4 months ago    
gemma3:12b-cloud                         485e7119a53a    -         4 months ago    
gemma3:4b-cloud                          89c58fea5420    -         4 months ago    
gemini-3-flash-preview:latest            ebade0d31690    -         4 months ago    
qwen3.5:cloud                            a7bf6f7891c3    -         4 months ago    
qwen3.5:397b-cloud                       a7bf6f7891c3    -         4 months ago    
minimax-m2.5:cloud                       c0d5751c800f    -         4 months ago    
glm-5:cloud                              c313cd065935    -         4 months ago    
bjoernb/claude-haiku-4-5:latest          01d0d069a149    -         4 months ago    
bjoernb/claude-sonet-4-5:latest          023608864819    -         4 months ago    
bjoernb/claude-opus-4-5:latest           023608864819    -         4 months ago    
qwen3-coder-next:cloud                   aa626c11ae8d    -         4 months ago    
kimi-k2.5:cloud                          6d1c3246c608    -         5 months ago    
rnj-1:8b-cloud                           d8200a2fbf21    -         5 months ago    
qwen3-vl:235b-instruct-cloud             2bf9522f6961    -         5 months ago    
qwen3-vl:235b-cloud                      86b3322ec200    -         5 months ago    
qwen3-next:80b-cloud                     f5ccd68d2872    -         5 months ago    
nemotron-3-nano:30b-cloud                01d0d069a149    -         5 months ago    
ministral-3:8b-cloud                     a56a5396dfb9    -         5 months ago    
ministral-3:3b-cloud                     6938c17dead4    -         5 months ago    
ministral-3:14b-cloud                    615c59440878    -         5 months ago    
minimax-m2:cloud                         698ab6d56142    -         5 months ago    
minimax-m2.1:cloud                       4ada3a038304    -         5 months ago    
kimi-k2:1t-cloud                         20dc43ca06d7    -         5 months ago    
kimi-k2-thinking:cloud                   9752ffb77f53    -         5 months ago    
gpt-oss:20b-cloud                        875e8e3a629a    -         5 months ago    
glm-4.7:cloud                            023608864819    -         5 months ago    
glm-4.6:cloud                            05277b76269f    -         5 months ago    
gemini-3-flash-preview:cloud             ebade0d31690    -         5 months ago    
devstral-small-2:24b-cloud               ec4a591da58a    -         5 months ago    
deepseek-v3.1:671b-cloud                 d3749919e45f    -         5 months ago    
mistral-large-3:675b-cloud               3130fd5a5a1e    -         5 months ago    
qwen3-coder:480b-cloud                   e30e45586389    -         5 months ago    
gpt-oss:120b-cloud                       569662207105    -         5 months ago    
deepseek-v3.2:cloud                      55f7c48fb187    -         5 months ago    
devstral-2:123b-cloud                    d37aca5b6a27    -         5 months ago    
cogito-2.1:671b-cloud                    36c90b0682ed    -         5 months ago    
